Authorization Date,Record ID,Store Name,Store Type,Street Number,City,State,Zip Code,Zip4,County,Latitude,Longitude,End Date
2010-01-13,930921,Chos Market  ,Small Grocery Store,1535,Washington,DC,20020,4807,DIST OF COLUMBIA,38.86533,-76.98235,07/26/2012
2010-02-04,454383,ARGYLE CONVENIENT STORE  ,Convenience Store,3220,WASHINGTON,DC,20010, ,DIST OF COLUMBIA,38.93226,-77.03883,03/12/2014
2010-02-04,931223,Zeman Store  ,Convenience Store,4418,Washington,DC,20011,7124,DIST OF COLUMBIA,38.94481,-77.0263,07/26/2015
2010-02-24,918491,Gees Market  ,Combination Grocery/Other,3583,Washington,DC,20010,1722,DIST OF COLUMBIA,38.93482,-77.02098,04/04/2018
2010-02-25,936685,Dollar Plus Saving  ,Convenience Store,1541,Washington,DC,20001,3201,DIST OF COLUMBIA,38.91075,-77.0219,05/05/2015
2010-03-11,940571,E & C Enterprises Inc DC711,Convenience Store,2830,Washington,DC,20001,3922,DIST OF COLUMBIA,38.9267,-77.02599,09/07/2011
2010-03-16,943309,Safeway 2892,Supermarket,1100,Washington,DC,20024,4449,DIST OF COLUMBIA,38.87762,-77.01716, 
2010-03-19,739683,AMANUEL MARKET  ,Convenience Store,3661,Washington,DC,20010,1641,DIST OF COLUMBIA,38.93597,-77.02421,01/23/2011
2010-03-25,944730,CVS Pharmacy 1841,Combination Grocery/Other,2000,Washington,DC,20036, ,DIST OF COLUMBIA,38.90564,-77.04539, 
2010-03-25,944752,CVS Pharmacy 2204,Combination Grocery/Other,4859,Washington,DC,20007,1564,DIST OF COLUMBIA,38.91663,-77.09563, 
2010-03-25,944766,CVS Pharmacy 2378,Combination Grocery/Other,2226,Washington,DC,20007,4102,DIST OF COLUMBIA,38.91942,-77.07088, 
2010-03-25,944104,CVS Pharmacy 1342,Combination Grocery/Other,1901,Washington,DC,20006, ,DIST OF COLUMBIA,38.90039,-77.04391, 
2010-03-25,944826,CVS Pharmacy 2847,Combination Grocery/Other,2000,Washington,DC,20006, ,DIST OF COLUMBIA,38.90067,-77.04499, 
